State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Maharashtra,Pune,Baramati,Onion,Red,FAQ,03-01-2007,300,1250,850,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,17-01-2007,300,1330,900,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,27-01-2007,200,951,750,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,23-02-2005,100,335,235,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,26-02-2005,100,400,310,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,26-03-2005,100,260,200,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,08-06-2005,100,420,320,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,31-12-2008,800,1500,1100,23
Maharashtra,Pune,Baramati,Onion,Other,FAQ,25-12-2010,1000,4250,1500,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,02-01-2010,600,1700,1100,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,27-01-2010,300,1410,1000,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,10-03-2010,200,900,650,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,20-03-2010,200,625,500,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,27-03-2010,100,640,450,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,07-04-2010,100,720,450,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,10-04-2010,100,575,400,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,05-05-2010,150,635,500,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,10-05-2010,200,600,450,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,17-07-2010,200,851,600,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,23-08-2010,250,951,800,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,03-12-2010,500,3800,1400,23
Maharashtra,Pune,Baramati,Onion,Other,FAQ,01-01-2011,1200,4700,2200,23
Maharashtra,Pune,Baramati,Onion,Other,FAQ,10-01-2011,1900,3850,2500,23
Maharashtra,Pune,Baramati,Onion,Other,FAQ,30-03-2011,200,702,450,23
Maharashtra,Pune,Baramati,Onion,Other,FAQ,25-04-2011,150,561,450,23
Maharashtra,Pune,Baramati,Onion,Other,FAQ,30-05-2011,200,651,400,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,12-03-2011,100,630,450,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,23-03-2011,200,730,450,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,06-04-2011,200,751,500,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,11-05-2011,150,651,450,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,03-10-2011,200,1300,900,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,07-11-2011,300,1215,850,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,05-12-2011,200,1011,650,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,24-12-2011,100,551,300,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,25-04-2012,100,440,300,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,26-12-2012,600,1450,1250,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,16-02-2009,300,1165,1000,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,26-10-2009,250,1552,900,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,31-10-2009,450,1801,900,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,11-11-2009,200,1700,1000,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,09-12-2006,201,830,635,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,27-12-2006,200,1200,850,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,09-01-2013,500,1415,1201,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,14-02-2013,400,1450,1200,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,29-04-2013,400,925,650,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,10-07-2013,1350,2500,2250,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,05-08-2013,2200,3560,3313,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,17-08-2013,2400,5001,4500,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,20-11-2013,1450,3100,2800,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,28-11-2013,700,2400,1800,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,09-12-2013,950,2100,1500,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,13-02-2014,200,626,400,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,10-11-2014,400,1501,1100,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,06-05-2015,500,1750,1300,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,13-06-2015,800,2800,2400,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,15-07-2015,800,2600,2300,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,17-08-2015,2400,4800,4300,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,05-09-2015,2000,5000,4300,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,07-09-2015,2300,5670,5000,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,16-09-2015,1000,5400,3000,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,19-09-2015,1100,5600,3000,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,23-09-2015,1000,5000,2500,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,26-10-2015,1500,3600,3000,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,28-10-2015,800,4000,3000,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,23-12-2015,300,1700,1350,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,28-12-2015,300,2050,1200,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,30-12-2015,500,2401,1850,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,06-02-2016,200,1500,1000,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,17-02-2016,200,900,550,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,27-02-2016,200,925,700,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,05-03-2016,200,951,700,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,14-03-2016,200,850,700,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,28-03-2016,100,616,500,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,07-05-2016,150,705,500,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,08-06-2016,200,851,700,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,20-08-2016,200,850,500,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,03-09-2016,300,1001,650,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,12-11-2016,200,1200,700,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,21-11-2016,200,1201,800,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,26-11-2016,200,1000,700,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,31-12-2016,200,900,500,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,04-01-2017,200,650,400,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,06-03-2017,200,770,550,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,10-07-2024,1000,3210,2500,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,20-07-2024,500,3000,2300,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,29-07-2024,900,3000,2200,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,17-08-2024,1000,3610,2600,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,08-05-2024,300,2000,1400,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,25-05-2024,300,2000,1300,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,29-05-2024,300,2000,1400,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,03-06-2024,300,2300,1550,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,15-06-2024,450,3000,2100,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,22-06-2024,500,3000,2200,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,21-09-2024,1000,5110,4000,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,28-09-2024,500,4250,3500,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,30-09-2024,800,4100,3200,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,20-05-2023,200,801,600,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,31-05-2023,200,1000,650,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,05-06-2023,200,1000,700,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,10-06-2023,300,1405,1100,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,17-06-2023,300,1400,1000,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,19-06-2023,200,1250,900,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,21-06-2023,300,1400,1000,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,03-07-2023,300,1500,1000,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,22-07-2023,250,1601,1200,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,02-08-2023,250,1550,1200,23
Maharashtra,Pune,Baramati,Onion,Red,FAQ,26-08-2023,450,2500,1900,23
