State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,YEAR,DOY,WS50M,CLOUD_AMT,ALLSKY_SFC_SW_DWN,T2M,T2MDEW,PRECTOTCORR
Maharashtra,Pune,Baramati,Other,Vegetables,6,500,1500,1200,29-12-2010,2010,363,4.57,38.74,13.61,18.51,13.33,0
Maharashtra,Pune,Baramati,Red,Vegetables,8,200,650,400,03-10-2016,2016,277,6.18,97.35,6.17,23.19,21.96,12.1
Maharashtra,Pune,Baramati,Red,Vegetables,9.7,201,830,635,09-12-2006,,,,,,,,
Maharashtra,Pune,Baramati,Red,Vegetables,10.9,100,440,300,25-04-2012,2012,116,5.11,17.33,25.96,28.31,11.81,0
Maharashtra,Pune,Baramati,Red,Vegetables,12.4,200,1250,750,12-09-2011,2011,255,6.56,75.87,10.12,23.24,21.55,3.12
Maharashtra,Pune,Baramati,Red,Vegetables,12.8,250,601,550,14-04-2007,2007,104,3.78,17.44,25.9,29.71,10.85,0
Maharashtra,Pune,Baramati,Red,Vegetables,15,1500,4050,3800,03-08-2015,2015,215,7.58,92.3,12.95,23.59,21.03,1.05
Maharashtra,Pune,Baramati,Red,Vegetables,16,600,2200,1800,22-06-2015,2015,173,12.5,98.02,7.53,24.08,22.83,39.46
Maharashtra,Pune,Baramati,Red,Vegetables,17.5,1550,2900,2600,03-08-2013,2013,215,7.95,70.37,17.32,22.79,21.37,4.33
Maharashtra,Pune,Baramati,Red,Vegetables,18.7,201,564,500,21-06-2008,2008,173,7.87,97.09,14.61,24.66,21.47,0.52
Maharashtra,Pune,Baramati,Red,Vegetables,20,300,2451,1300,16-12-2009,2009,350,5.33,22.85,15.86,21.2,17.03,0
Maharashtra,Pune,Baramati,Red,Vegetables,20,500,2401,1850,30-12-2015,2015,364,5.96,33.22,17.63,21.23,5.03,0
Maharashtra,Pune,Baramati,Red,Vegetables,20,1000,4200,3200,09-09-2024,2024,253,5.95,-999,15.52,24.09,22.53,7.51
Maharashtra,Pune,Baramati,Red,Vegetables,22.9,250,951,800,23-08-2010,2010,235,6.03,94.85,13.26,23.79,22.06,2.72
Maharashtra,Pune,Baramati,Red,Vegetables,24,200,900,600,14-11-2016,2016,319,4.76,9.53,15.78,19.8,14.05,0
Maharashtra,Pune,Baramati,Red,Vegetables,24.6,200,850,650,31-05-2010,2010,151,4.95,38.02,24.76,28.77,19.76,14.51
Maharashtra,Pune,Baramati,Red,Vegetables,24.6,400,3000,2400,08-07-2024,2024,190,7.71,99.51,7.33,24.86,23.31,34.67
Maharashtra,Pune,Baramati,Red,Vegetables,25,200,750,450,21-05-2011,2011,141,8.06,44.22,20.45,27.22,20.26,0
Maharashtra,Pune,Baramati,Red,Vegetables,28,600,3000,2475,14-11-2015,2015,318,5.73,33,18.14,21.75,13.26,0
Maharashtra,Pune,Baramati,Red,Vegetables,28.6,200,1185,750,28-11-2011,2011,332,7.42,96.59,9.32,22.53,18.37,0.16
Maharashtra,Pune,Baramati,Red,Vegetables,28.6,500,1470,1100,23-12-2013,2013,357,6.07,38.87,17.08,19.1,12.15,0
Maharashtra,Pune,Baramati,Red,Vegetables,29,200,800,500,24-09-2016,2016,268,6.97,99.26,8.23,23.13,22.18,29.47
Maharashtra,Pune,Baramati,Red,Vegetables,29,400,950,700,20-03-2014,2014,79,4.71,27.93,23.18,28.56,6.37,0
Maharashtra,Pune,Baramati,Red,Vegetables,30,1000,4200,3000,11-11-2023,2023,315,5.36,29.95,16.33,22.69,19.01,2.8
Maharashtra,Pune,Baramati,Red,Vegetables,30.7,601,1426,1100,09-01-2010,2010,9,3.93,47.35,15.42,20.11,12.65,0
Maharashtra,Pune,Baramati,Red,Vegetables,30.7,1000,3700,2600,12-08-2024,2024,225,6.29,-999,10.9,24.08,22.44,2.95
Maharashtra,Pune,Baramati,Red,Vegetables,31,200,1025,650,17-12-2016,2016,352,4.11,33.49,14.86,21.35,14.76,0
Maharashtra,Pune,Baramati,Red,Vegetables,32,200,800,500,17-08-2016,2016,230,8.46,75.67,16.67,23.2,21.32,2.45
Maharashtra,Pune,Baramati,Red,Vegetables,32.8,1000,4000,2800,04-01-2025,2025,4,5.59,-999,17.59,19.91,6.56,0
Maharashtra,Pune,Baramati,Red,Vegetables,34.2,700,4300,3300,11-09-2024,2024,255,6.72,-999,14.14,23.32,21.74,8.58
Maharashtra,Pune,Baramati,Red,Vegetables,36,200,1000,650,31-05-2023,2023,151,4.35,16.38,25.32,29.99,17.34,0.34
Maharashtra,Pune,Baramati,Red,Vegetables,38,200,1206,500,19-11-2016,2016,324,6.25,61.82,16.71,18.58,10.5,0
Maharashtra,Pune,Baramati,Red,Vegetables,38,500,3000,1800,27-12-2023,2023,361,6.41,27.42,15.46,19.84,11.92,0
Maharashtra,Pune,Baramati,Red,Vegetables,39,200,1201,800,21-11-2016,2016,326,5.18,17.5,18.69,18.33,9.3,0
Maharashtra,Pune,Baramati,Red,Vegetables,39,250,1500,1100,31-01-2024,2024,31,3.77,19.35,18.89,20.79,10.3,0
Maharashtra,Pune,Baramati,Red,Vegetables,39,500,1700,1400,09-02-2015,2015,40,5.27,27.86,20.34,21.14,7.5,0
Maharashtra,Pune,Baramati,Red,Vegetables,40.6,600,2900,2200,22-07-2024,2024,204,10.21,99.13,5.78,23.5,22.69,49.7
Maharashtra,Pune,Baramati,Red,Vegetables,42.5,300,1651,850,07-10-2009,2009,280,5.22,63.97,14.16,22.76,21.15,4.99
