State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,YEAR,DOY,WS50M,CLOUD_AMT,ALLSKY_SFC_SW_DWN,T2M,T2MDEW,PRECTOTCORR
Maharashtra,Pune,Baramati,Other,Vegetables,6,500,1500,1200,2010-12-29,2010.0,363.0,4.57,38.74,13.61,18.51,13.33,0.0
Maharashtra,Pune,Baramati,Red,Vegetables,8,200,650,400,2016-10-03,2016.0,277.0,6.18,97.35,6.17,23.19,21.96,12.1
Maharashtra,Pune,Baramati,Red,Vegetables,9.7,201,830,635,2006-12-09,,,,,,,,
Maharashtra,Pune,Baramati,Red,Vegetables,10.9,100,440,300,2012-04-25,2012.0,116.0,5.11,17.33,25.96,28.31,11.81,0.0
Maharashtra,Pune,Baramati,Red,Vegetables,12.4,200,1250,750,2011-09-12,2011.0,255.0,6.56,75.87,10.12,23.24,21.55,3.12
Maharashtra,Pune,Baramati,Red,Vegetables,12.8,250,601,550,2007-04-14,2007.0,104.0,3.78,17.44,25.9,29.71,10.85,0.0
Maharashtra,Pune,Baramati,Red,Vegetables,15,1500,4050,3800,2015-08-03,2015.0,215.0,7.58,92.3,12.95,23.59,21.03,1.05
Maharashtra,Pune,Baramati,Red,Vegetables,16,600,2200,1800,2015-06-22,2015.0,173.0,12.5,98.02,7.53,24.08,22.83,39.46
Maharashtra,Pune,Baramati,Red,Vegetables,17.5,1550,2900,2600,2013-08-03,2013.0,215.0,7.95,70.37,17.32,22.79,21.37,4.33
Maharashtra,Pune,Baramati,Red,Vegetables,18.7,201,564,500,2008-06-21,2008.0,173.0,7.87,97.09,14.61,24.66,21.47,0.52
Maharashtra,Pune,Baramati,Red,Vegetables,20,300,2451,1300,2009-12-16,2009.0,350.0,5.33,22.85,15.86,21.2,17.03,0.0
Maharashtra,Pune,Baramati,Red,Vegetables,20,500,2401,1850,2015-12-30,2015.0,364.0,5.96,33.22,17.63,21.23,5.03,0.0
Maharashtra,Pune,Baramati,Red,Vegetables,20,1000,4200,3200,2024-09-09,2024.0,253.0,5.95,-999.0,15.52,24.09,22.53,7.51
Maharashtra,Pune,Baramati,Red,Vegetables,22.9,250,951,800,2010-08-23,2010.0,235.0,6.03,94.85,13.26,23.79,22.06,2.72
Maharashtra,Pune,Baramati,Red,Vegetables,24,200,900,600,2016-11-14,2016.0,319.0,4.76,9.53,15.78,19.8,14.05,0.0
Maharashtra,Pune,Baramati,Red,Vegetables,24.6,200,850,650,2010-05-31,2010.0,151.0,4.95,38.02,24.76,28.77,19.76,14.51
Maharashtra,Pune,Baramati,Red,Vegetables,24.6,400,3000,2400,2024-07-08,2024.0,190.0,7.71,99.51,7.33,24.86,23.31,34.67
Maharashtra,Pune,Baramati,Red,Vegetables,25,200,750,450,2011-05-21,2011.0,141.0,8.06,44.22,20.45,27.22,20.26,0.0
Maharashtra,Pune,Baramati,Red,Vegetables,28,600,3000,2475,2015-11-14,2015.0,318.0,5.73,33.0,18.14,21.75,13.26,0.0
Maharashtra,Pune,Baramati,Red,Vegetables,28.6,200,1185,750,2011-11-28,2011.0,332.0,7.42,96.59,9.32,22.53,18.37,0.16
Maharashtra,Pune,Baramati,Red,Vegetables,28.6,500,1470,1100,2013-12-23,2013.0,357.0,6.07,38.87,17.08,19.1,12.15,0.0
Maharashtra,Pune,Baramati,Red,Vegetables,29,200,800,500,2016-09-24,2016.0,268.0,6.97,99.26,8.23,23.13,22.18,29.47
Maharashtra,Pune,Baramati,Red,Vegetables,29,400,950,700,2014-03-20,2014.0,79.0,4.71,27.93,23.18,28.56,6.37,0.0
