State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Maharashtra,Pune,Baramati,Other,Vegetables,6,500,1500,1200,29-Dec-10
Maharashtra,Pune,Baramati,Red,Vegetables,8,200,650,400,03-Oct-16
Maharashtra,Pune,Baramati,Red,Vegetables,9.7,201,830,635,09-Dec-06
Maharashtra,Pune,Baramati,Red,Vegetables,10.9,100,440,300,25-Apr-12
Maharashtra,Pune,Baramati,Red,Vegetables,12.4,200,1250,750,12-Sep-11
Maharashtra,Pune,Baramati,Red,Vegetables,12.8,250,601,550,14-Apr-07
Maharashtra,Pune,Baramati,Red,Vegetables,15,1500,4050,3800,03-Aug-15
Maharashtra,Pune,Baramati,Red,Vegetables,16,600,2200,1800,22-Jun-15
Maharashtra,Pune,Baramati,Red,Vegetables,17.5,1550,2900,2600,03-Aug-13
Maharashtra,Pune,Baramati,Red,Vegetables,18.7,201,564,500,21-Jun-08
Maharashtra,Pune,Baramati,Red,Vegetables,20,300,2451,1300,16-Dec-09
Maharashtra,Pune,Baramati,Red,Vegetables,20,500,2401,1850,30-Dec-15
Maharashtra,Pune,Baramati,Red,Vegetables,20,1000,4200,3200,09-Sep-24
Maharashtra,Pune,Baramati,Red,Vegetables,22.9,250,951,800,23-Aug-10
Maharashtra,Pune,Baramati,Red,Vegetables,24,200,900,600,14-Nov-16
Maharashtra,Pune,Baramati,Red,Vegetables,24.6,200,850,650,31-May-10
Maharashtra,Pune,Baramati,Red,Vegetables,24.6,400,3000,2400,08-Jul-24
Maharashtra,Pune,Baramati,Red,Vegetables,25,200,750,450,21-May-11
Maharashtra,Pune,Baramati,Red,Vegetables,28,600,3000,2475,14-Nov-15
Maharashtra,Pune,Baramati,Red,Vegetables,28.6,200,1185,750,28-Nov-11
Maharashtra,Pune,Baramati,Red,Vegetables,28.6,500,1470,1100,23-Dec-13
Maharashtra,Pune,Baramati,Red,Vegetables,29,200,800,500,24-Sep-16
Maharashtra,Pune,Baramati,Red,Vegetables,29,400,950,700,20-Mar-14
Maharashtra,Pune,Baramati,Red,Vegetables,30,1000,4200,3000,11-Nov-23
Maharashtra,Pune,Baramati,Red,Vegetables,30.7,601,1426,1100,09-Jan-10
Maharashtra,Pune,Baramati,Red,Vegetables,30.7,1000,3700,2600,12-Aug-24
Maharashtra,Pune,Baramati,Red,Vegetables,31,200,1025,650,17-Dec-16
Maharashtra,Pune,Baramati,Red,Vegetables,32,200,800,500,17-Aug-16
Maharashtra,Pune,Baramati,Red,Vegetables,32.8,1000,4000,2800,04-Jan-25
Maharashtra,Pune,Baramati,Red,Vegetables,34.2,700,4300,3300,11-Sep-24
Maharashtra,Pune,Baramati,Red,Vegetables,36,200,1000,650,31-May-23
Maharashtra,Pune,Baramati,Red,Vegetables,38,200,1206,500,19-Nov-16
Maharashtra,Pune,Baramati,Red,Vegetables,38,500,3000,1800,27-Dec-23
Maharashtra,Pune,Baramati,Red,Vegetables,39,200,1201,800,21-Nov-16
Maharashtra,Pune,Baramati,Red,Vegetables,39,250,1500,1100,31-Jan-24
Maharashtra,Pune,Baramati,Red,Vegetables,39,500,1700,1400,09-Feb-15
Maharashtra,Pune,Baramati,Red,Vegetables,40.6,600,2900,2200,22-Jul-24
Maharashtra,Pune,Baramati,Red,Vegetables,42.5,300,1651,850,07-Oct-09
Maharashtra,Pune,Baramati,Red,Vegetables,47,500,2435,1800,30-Aug-23
Maharashtra,Pune,Baramati,Red,Vegetables,48.2,400,2400,1600,05-Jun-24
Maharashtra,Pune,Baramati,Red,Vegetables,48.9,500,3100,2300,06-Jul-24
Maharashtra,Pune,Baramati,Red,Vegetables,50,200,610,400,18-May-16
Maharashtra,Pune,Baramati,Red,Vegetables,50,500,2500,1900,09-Oct-23
Maharashtra,Pune,Baramati,Red,Vegetables,50.8,1100,3201,2500,22-Jan-25
Maharashtra,Pune,Baramati,Red,Vegetables,51,200,900,550,15-Oct-16
Maharashtra,Pune,Baramati,Red,Vegetables,56,1100,5600,3000,19-Sep-15
Maharashtra,Pune,Baramati,Red,Vegetables,63,1000,4500,2500,30-Sep-15
Maharashtra,Pune,Baramati,Red,Vegetables,63.3,1000,3201,2500,25-Jan-25
Maharashtra,Pune,Baramati,Red,Vegetables,66.3,800,2500,2000,01-Feb-25
Maharashtra,Pune,Baramati,Red,Vegetables,67,1500,3600,3000,26-Oct-15
Maharashtra,Pune,Baramati,Red,Vegetables,72.7,300,1300,950,27-Apr-24
Maharashtra,Pune,Baramati,Red,Vegetables,83,500,2600,1800,21-Nov-15
Maharashtra,Pune,Baramati,Red,Vegetables,85.3,300,1600,1150,06-Apr-24
Maharashtra,Pune,Baramati,Red,Vegetables,98.6,300,1500,1050,13-Apr-24
Maharashtra,Pune,Dound,Red,Vegetables,74,350,700,550,29-Mar-19
Maharashtra,Pune,Indapur,Other,Vegetables,1.4,700,1051,930,03-Aug-07
Maharashtra,Pune,Baramati,Other,Vegetables,12,500,800,600,29-Jan-11
Maharashtra,Pune,Baramati,Other,Vegetables,24.8,150,710,500,02-May-11
Maharashtra,Pune,Baramati,Other,Vegetables,55,200,750,600,18-May-23
Maharashtra,Pune,Baramati,Red,Vegetables,7,200,675,525,09-Jul-08
Maharashtra,Pune,Baramati,Red,Vegetables,8,200,750,550,15-Oct-08
Maharashtra,Pune,Baramati,Red,Vegetables,10.3,600,1415,1300,18-Aug-07
Maharashtra,Pune,Baramati,Red,Vegetables,13.5,500,1500,800,15-Oct-05
Maharashtra,Pune,Baramati,Red,Vegetables,15,200,800,600,05-Jul-17
Maharashtra,Pune,Baramati,Red,Vegetables,18.3,1000,2700,2000,15-Jan-25
Maharashtra,Pune,Baramati,Red,Vegetables,18.7,300,1390,950,01-Feb-10
Maharashtra,Pune,Baramati,Red,Vegetables,19,200,1320,800,07-Nov-16
Maharashtra,Pune,Baramati,Red,Vegetables,22.1,200,825,700,17-Mar-07
Maharashtra,Pune,Baramati,Red,Vegetables,25,300,2050,1500,23-Sep-23
Maharashtra,Pune,Baramati,Red,Vegetables,25,800,2700,1850,22-Jan-11
Maharashtra,Pune,Baramati,Red,Vegetables,26,300,2051,1400,09-Aug-23
Maharashtra,Pune,Baramati,Red,Vegetables,27,500,1521,1200,04-May-15
